unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
62ecf961-0d2f-48df-bf6f-d914d3724470,1602604528.0303724,[179633.27788],None,2018-01-05,0.1,000:00:35
853a78dd-401c-4517-833b-f6983720bafb,1602605343.685044,all,[181373.1209],None,2018-01-05,0.1,000:00:34
6fa0597e-2ebf-431e-8229-4b57b850f607,1602605613.3379374,all,[185433.423],None,2018-01-05,0.1,000:00:33
11287baf-5d5f-49a7-ad88-c61760de3e51,1602605741.059993,united_kingdom,[157164.1023],None,2018-01-05,0.1,000:00:35
04d979ee-c458-4371-999e-497511795fcd,1602606771.089672,united_kingdom,[121830.26696],None,2018-02-05,0.1,000:00:37
554d468e-9138-4e20-85bb-0a0b6248b00c,1602606881.0508165,united_kingdom,[118660.7183],None,2018-04-05,0.1,000:00:34
2ed6b3e2-693d-4efc-9206-8e4196a01a56,1602607536.3744874,united_kingdom,[138877.1562],None,2018-05-05,0.1,000:00:34
8edaa244-4b99-4d03-9c26-af32f7f03dcf,1602608119.05671,united_kingdom,[203906.7651],None,2018-06-05,0.1,000:00:33
705938f0-d4b9-4dbe-a621-44b29821cefa,1602608214.408143,united_kingdom,[114200.6848],None,2018-07-05,0.1,000:00:33
4f049e4b-2315-4f06-a3ea-789a62c23244,1602608304.1183558,united_kingdom,[269556.28833333],None,2018-09-05,0.1,000:00:32
f1f15fa0-7ae9-4fe6-826c-fb35e6eae752,1602608398.101284,united_kingdom,[184472.60085],None,2018-10-05,0.1,000:00:35
ea6dfb28-7aed-47a7-a365-3a369f728f00,1602608490.6178315,united_kingdom,[278698.311],None,2018-11-05,0.1,000:00:33
7a90244f-f27f-4fa9-ac1a-2e629c9de6b0,1602608624.7786205,united_kingdom,[241789.065],None,2018-12-05,0.1,000:00:34
32cd9ace-0eb2-4337-b2c2-2a9b14f99c6a,1602608755.3347683,all,[306479.5628],None,2018-12-05,0.1,000:00:36
52235952-15b6-4305-bb7f-0b1b52bdadc0,1602608861.1022177,all,[320757.3763],None,2018-11-05,0.1,000:00:40
aeae3042-e054-42bc-9085-5b8286a4ea52,1602608971.8462448,all,[226346.3657],None,2018-10-05,0.1,000:00:37
c19228c6-ccc6-4904-94af-3dfefde5e03e,1602609070.7327476,all,[226411.3018],None,2018-09-05,0.1,000:00:33
